"";"Rk";"Team";" G";" Pts/G";" TotPts";" Scrm Plys";" Yds/G";" Yds/P";" 1st/G";" 3rd Md";" 3rd Att";" 3rd Pct";" 4th Md";" 4th Att";" 4th Pct";" Pen";" Pen Yds";" ToP/G";" FUM";" Lost";" TO"
"1";"1";"Minnesota Vikings";"16";"26";"416";"1,055";"393.4";"6.0";"21.0";"102";"219";"47";"8";"20";"40";"127";"1,029";"32:52";"31";"11";"+11"
"2";"2";"Kansas City Chiefs";"16";"30.2";"484";"1,003";"369.4";"5.9";"21.8";"84";"201";"42";"6";"10";"60";"79";"698";"29:35";"13";"6";"+19"
"3";"3";"Indianapolis Colts";"16";"27.9";"447";"1,041";"367.1";"5.6";"21.8";"91";"217";"42";"11";"17";"65";"92";"662";"31:27";"25";"10";"+10"
"4";"4";"Green Bay Packers";"16";"27.6";"442";"999";"362.4";"5.8";"19.7";"85";"207";"41";"4";"7";"57";"88";"699";"31:04";"19";"11";"0"
"5";"5";"San Francisco 49ers";"16";"24";"384";"1,038";"355.4";"5.5";"19.6";"86";"215";"40";"5";"19";"26";"104";"807";"31:09";"24";"10";"+12"
"6";"6";"Seattle Seahawks";"16";"25.2";"404";"1,017";"351.7";"5.5";"21.1";"96";"205";"47";"2";"7";"29";"91";"777";"28:48";"23";"13";"-1"
"7";"7";"Denver Broncos";"16";"23.8";"381";"1,047";"349.9";"5.3";"20.9";"82";"211";"39";"3";"13";"23";"107";"922";"34:04";"24";"6";"-4"
"8";"8";"Tennessee Titans";"16";"27.2";"435";"1,013";"343.8";"5.4";"19.4";"86";"211";"41";"6";"14";"43";"110";"887";"32:52";"24";"12";"+13"
"9";"9";"St. Louis Rams";"16";"27.9";"447";"1,054";"341.1";"5.2";"20.9";"92";"216";"43";"7";"15";"47";"92";"667";"32:06";"33";"16";"+7"
"10";"10";"Tampa Bay Buccaneers";"16";"18.8";"301";"1,036";"340.8";"5.3";"19.2";"78";"220";"36";"8";"15";"53";"117";"1,104";"32:21";"23";"9";"+2"
"11";"11";"New Orleans Saints";"16";"21.2";"340";"1,019";"339.9";"5.3";"18.9";"106";"229";"46";"5";"19";"26";"103";"878";"30:35";"33";"20";"-1"
"12";"12";"Jacksonville Jaguars";"16";"17.2";"276";"1,024";"334.9";"5.2";"19.1";"80";"216";"37";"13";"26";"50";"108";"895";"30:09";"27";"14";"-4"
"13";"13";"Cincinnati Bengals";"16";"21.6";"346";"1,038";"333.1";"5.1";"19.6";"102";"228";"45";"5";"11";"46";"107";"846";"30:59";"16";"7";"+2"
"14";"14";"San Diego Chargers";"16";"19.6";"313";"971";"322.9";"5.3";"18.1";"62";"197";"32";"10";"19";"53";"126";"1,016";"28:09";"20";"12";"-11"
"15";"15";"Dallas Cowboys";"16";"18.1";"289";"1,062";"322.6";"4.9";"17.9";"88";"241";"36";"4";"12";"33";"98";"837";"32:53";"26";"8";"-4"
"16";"16";"Carolina Panthers";"16";"20.3";"325";"1,008";"321.3";"5.1";"17.8";"78";"219";"36";"6";"11";"54";"116";"966";"31:11";"33";"15";"-5"
"17";"17";"New England Patriots";"16";"21.8";"348";"1,042";"314.9";"4.8";"18.4";"84";"227";"37";"6";"14";"43";"111";"998";"31:35";"25";"11";"+17"
"18";"18";"Philadelphia Eagles";"16";"23.4";"374";"944";"314.7";"5.3";"18.9";"69";"190";"36";"3";"7";"43";"96";"817";"28:19";"21";"11";"+4"
"19";"19";"New York Jets";"16";"17.7";"283";"936";"309.4";"5.3";"17.1";"82";"206";"40";"6";"13";"46";"69";"550";"28:27";"18";"6";"0"
"20";"20";"New York Giants";"16";"15.2";"243";"1,047";"308.9";"4.7";"18.8";"73";"218";"34";"2";"17";"12";"127";"1,090";"28:53";"35";"18";"-16"
"21";"21";"Baltimore Ravens";"16";"24.4";"391";"1,009";"308.1";"4.9";"16.2";"72";"226";"32";"7";"11";"64";"126";"970";"30:48";"37";"19";"+3"
"22";"22";"Pittsburgh Steelers";"16";"18.8";"300";"1,020";"299.5";"4.7";"17.2";"82";"227";"36";"11";"22";"50";"111";"1,005";"30:49";"24";"11";"-3"
"23";"23";"Washington Redskins";"16";"17.9";"287";"991";"291.2";"4.7";"17.0";"73";"215";"34";"8";"14";"57";"124";"1,038";"28:52";"21";"12";"+2"
"24";"24";"Miami Dolphins";"16";"19.4";"311";"968";"288.1";"4.8";"16.6";"67";"205";"33";"5";"10";"50";"103";"913";"30:17";"26";"15";"+2"
"25";"25";"Oakland Raiders";"16";"16.9";"270";"987";"285.8";"4.6";"16.1";"66";"217";"30";"14";"25";"56";"134";"1,120";"28:08";"25";"12";"-1"
"26";"26";"Cleveland Browns";"16";"15.9";"254";"961";"281.5";"4.7";"17.2";"74";"202";"37";"6";"18";"33";"98";"767";"29:31";"32";"15";"-11"
"27";"27";"Arizona Cardinals";"16";"14.1";"225";"981";"280.6";"4.6";"16.0";"83";"222";"37";"10";"22";"46";"98";"761";"29:59";"29";"14";"-13"
"28";"28";"Chicago Bears";"16";"17.7";"283";"1,001";"273.8";"4.4";"16.5";"77";"228";"34";"15";"23";"65";"92";"806";"29:39";"25";"9";"-9"
"29";"29";"Atlanta Falcons";"16";"18.7";"299";"930";"272.3";"4.7";"15.8";"58";"194";"30";"6";"11";"54";"90";"790";"27:47";"22";"10";"0"
"30";"30";"Buffalo Bills";"16";"15.2";"243";"980";"271.8";"4.4";"16.8";"67";"212";"32";"13";"25";"52";"106";"891";"29:47";"36";"17";"-16"
"31";"31";"Houston Texans";"16";"15.9";"255";"896";"269.1";"4.8";"14.8";"63";"204";"31";"9";"14";"64";"121";"961";"28:03";"18";"9";"-5"
"32";"32";"Detroit Lions";"16";"16.9";"270";"975";"266.4";"4.4";"15.6";"80";"228";"35";"8";"20";"40";"107";"859";"28:21";"18";"4";"0"
