Player,PS,GP,Min,Pts,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,+/-,OE,PER,PER,Var,,FGM_Weight,FGA_Weight,ThrPTM_Weight,FTM_Weight,Blk_Weight,OffReb_Weight,Ast_Weight,DefReb_Weight,Foul_Weight,FTA_Weight,Stl_Weight,TO_Weight,,,,,
g.hill (ind),PG,76,2436,687,272,616,95,260,142,176,53,283,264,75,92,24,158,0,781,4,0,0,76,322,0.583,13.42,13.56962829,0.149628292,,,,,,,,,,,,,,,,,,
b.bass (bos),PF,82,2262,505,352,725,2,6,205,239,161,471,87,36,102,71,190,0,911,3,0,0,73,-402,0.583,15.01,15.32306294,0.313062944,,,,,,,,,,,,,,,,,,
e.udoh (mil),PF,43,804,84,57,143,0,0,30,47,61,148,31,15,38,44,96,0,144,0,0,0,14,-169,0.583,7.62,7.869316901,0.249316901,,,,,,,,,,,,,,,,,,
p.tucker (pho),SG,81,2489,596,265,615,74,191,156,201,162,530,140,110,102,23,204,2,760,12,0,0,81,125,0.583,13.31,13.87944024,0.569440241,,,,,,,,,,,,,,,,,,
e.kanter (uta),C,80,2138,689,419,853,0,1,149,204,222,598,75,28,144,42,230,1,987,1,0,0,37,-481,0.581,15.7,15.61473874,0.085261257,,,,,,,,,,,,,,,,,,
d.west (ind),PF,80,2469,730,458,939,4,15,198,251,120,542,223,61,133,74,186,1,1118,7,0,0,80,410,0.58,17.55,17.62104289,0.071042895,,,,,,,,,,,,,,,,,,
m.gasol (mem),C,59,1976,493,336,711,2,11,185,241,84,424,216,59,111,76,150,1,859,0,0,0,59,16,0.579,18.27,17.84680215,0.423197849,,,,,,,,,,,,,,,,,,
r.felton (nyk),PG,65,2020,578,240,608,62,195,88,122,54,197,368,77,129,27,157,1,630,1,0,0,65,24,0.578,12.9,12.77963164,0.120368357,,,,,,,,,,,,,,,,,,
d.williams (brk),PG,65,2058,765,322,716,98,268,173,216,15,168,393,93,143,13,148,0,915,0,0,0,58,187,0.578,17.69,17.743073,0.053073002,,,,,,,,,,,,,,,,,,
l.mbahamoute (sac),SF,64,1002,140,87,193,4,17,46,67,56,146,36,31,40,14,68,2,224,0,0,0,7,-152,0.577,8.42,9.102522055,0.682522055,,,,,,,,,,,,,,,,,,
l.mbahamoute (min),SF,64,1002,140,87,193,4,17,46,67,56,146,36,31,40,14,68,2,224,0,0,0,7,-152,0.577,8.42,9.102522055,0.682522055,,,,,,,,,,,,,,,,,,
z.randolph (mem),PF,79,2709,876,560,1198,2,20,250,337,265,794,199,54,183,23,210,0,1372,4,0,0,79,169,0.577,18.37,18.01891541,0.351084592,,,,,,,,,,,,,,,,,,
d.collison (lac),PG,80,2071,669,324,694,71,189,192,224,47,188,297,93,132,15,150,1,911,0,0,0,35,214,0.577,16.21,17.28909368,1.079093683,,,,,,,,,,,,,,,,,,
t.allen (mem),SG,55,1276,365,204,413,11,47,76,121,79,208,94,90,90,19,121,0,495,2,0,0,28,92,0.575,15.64,15.57933025,0.060669746,,,,,,,,,,,,,,,,,,
s.curry (gsw),PG,78,2843,1779,652,1383,261,615,308,348,46,334,667,129,294,14,194,1,1873,0,0,0,78,574,0.574,24.13,25.25004077,1.120040774,,,,,,,,,,,,,,,,,,
j.jerebko (det),PF,64,743,246,98,208,31,74,43,59,51,175,39,21,43,6,85,0,270,0,0,0,0,-87,0.573,13.42,13.96006317,0.540063173,,,,,,,,,,,,,,,,,,
k.love (min),PF,77,2797,1350,650,1422,190,505,520,633,224,963,343,59,195,35,136,0,2010,3,0,0,77,355,0.572,26.97,28.66357653,1.693576527,,,,,,,,,,,,,,,,,,
m.conley (mem),PG,73,2447,1016,463,1030,105,291,225,276,41,213,439,110,150,13,141,1,1256,0,0,0,73,151,0.572,20.07,19.60964092,0.460359084,,,,,,,,,,,,,,,,,,
s.mack (atl),PG,73,1494,540,209,501,62,184,64,74,21,160,271,50,90,2,100,1,544,0,0,0,11,-47,0.571,13.28,14.26248789,0.982487888,,,,,,,,,,,,,,,,,,
a.jefferson (cha),C,73,2557,1218,700,1376,3,15,191,277,156,792,155,67,124,79,176,1,1594,5,0,0,73,30,0.57,22.75,22.971919,0.221919002,,,,,,,,,,,,,,,,,,
k.perkins (okc),C,62,1206,137,87,194,0,2,37,67,82,305,67,26,91,32,177,0,211,10,0,0,62,44,0.57,6.32,6.976390123,0.656390123,,,,,,,,,,,,,,,,,,
m.ginobili (sas),SG,68,1554,698,294,627,90,258,160,188,30,204,291,70,139,17,128,0,838,0,0,0,3,421,0.57,20.06,20.90733157,0.847331573,,,,,,,,,,,,,,,,,,
k.seraphin (was),PF,53,578,195,111,220,0,0,27,31,53,128,17,3,41,26,103,0,249,0,0,0,1,-31,0.569,12.52,13.11169508,0.591695082,,,,,,,,,,,,,,,,,,
p.pressey (bos),PG,75,1129,211,78,253,28,106,29,45,20,105,240,68,87,5,97,1,213,0,0,0,11,-39,0.568,8.78,9.510906447,0.730906447,,,,,,,,,,,,,,,,,,
c.zeller (cha),PF,82,1412,198,172,404,0,1,146,200,118,353,92,40,87,41,170,0,490,0,0,0,3,-83,0.568,13.12,13.61372181,0.493721815,,,,,,,,,,,,,,,,,,
p.gasol (lal),PF,60,1883,675,425,885,4,14,187,254,124,580,201,27,141,92,124,0,1041,0,0,0,60,-354,0.568,19.34,21.03600103,1.696001029,,,,,,,,,,,,,,,,,,
d.harris (dal),PG,40,817,193,96,254,31,101,92,115,8,85,178,28,59,2,72,1,315,0,0,0,0,156,0.567,14.66,15.26926403,0.609264026,,,,,,,,,,,,,,,,,,
j.nelson (orl),PG,68,2176,900,294,747,136,391,96,112,29,231,476,52,166,5,146,1,820,3,0,0,68,-273,0.566,13.89,14.30125886,0.411258862,,,,,,,,,,,,,,,,,,
n.hilario (was),C,53,1562,446,299,594,1,5,155,266,65,294,153,64,117,48,164,2,754,3,0,0,37,117,0.566,16.67,17.02531281,0.355312807,,,,,,,,,,,,,,,,,,
h.thompson (phi),SF,77,1742,491,171,372,67,167,52,73,73,247,73,53,60,12,144,0,461,0,0,0,41,-360,0.565,9.5,10.50874024,1.008740235,,,,,,,,,,,,,,,,,,
c.parsons (hou),SF,74,2785,1158,466,987,130,351,164,221,69,409,298,88,144,29,168,1,1226,0,0,0,74,325,0.562,15.9,16.60653734,0.706537344,,,,,,,,,,,,,,,,,,
j.wall (was),PG,82,2980,1165,579,1337,108,308,317,394,38,333,719,149,295,39,219,1,1583,2,0,0,82,195,0.561,19.61,20.09591801,0.485918011,,,,,,,,,,,,,,,,,,
j.sullinger (bos),PF,74,2041,778,384,899,56,208,158,203,241,601,118,35,119,49,251,3,982,1,0,0,44,-14,0.561,16.42,16.95029694,0.530296938,,,,,,,,,,,,,,,,,,
a.blatche (brk),PF,73,1622,523,321,674,15,54,164,221,120,390,112,75,110,38,166,0,821,2,0,0,7,24,0.558,18.85,18.9272695,0.077269503,,,,,,,,,,,,,,,,,,
p.beverley (hou),PG,57,1750,591,199,481,92,255,83,102,72,196,149,78,66,23,174,4,573,6,0,0,55,295,0.558,12.43,13.30404673,0.87404673,,,,,,,,,,,,,,,,,,
d.cousins (sac),C,71,2296,750,591,1191,0,7,432,595,218,831,207,109,251,91,270,4,1614,16,0,0,71,-18,0.558,26.18,26.2056777,0.025677698,,,,,,,,,,,,,,,,,,
j.teague (atl),PG,79,2546,816,456,1040,74,225,318,376,34,208,526,89,231,17,158,0,1304,2,0,0,79,117,0.557,17.16,18.20158268,1.041582684,,,,,,,,,,,,,,,,,,
m.morris (pho),PF,81,2151,665,411,845,34,108,259,327,139,485,143,68,147,51,232,2,1115,9,0,0,0,133,0.556,18.48,18.76232205,0.282322051,,,,,,,,,,,,,,,,,,
j.smith (nop),PF,31,826,223,131,282,0,0,39,50,51,181,29,11,28,29,100,3,301,1,0,0,27,-64,0.556,12.47,12.80778839,0.337788386,,,,,,,,,,,,,,,,,,
t.gibson (chi),PF,82,2353,647,429,896,0,7,211,281,200,559,91,41,150,110,207,2,1069,8,0,0,8,138,0.555,16.09,16.17749303,0.087493025,,,,,,,,,,,,,,,,,,
t.evans (nop),PG,72,2024,606,391,897,21,95,239,310,76,341,363,84,175,21,155,0,1042,3,0,0,22,-207,0.555,18.43,18.58306803,0.153068032,,,,,,,,,,,,,,,,,,
k.korver (atl),SG,71,2413,1046,289,609,185,392,87,94,22,282,208,69,102,24,147,0,850,0,0,0,71,211,0.554,13.55,14.29838074,0.748380744,,,,,,,,,,,,,,,,,,
l.ridnour (mil),PG,61,1138,346,126,327,37,108,17,26,23,97,177,32,66,8,92,0,306,1,0,0,14,-202,0.554,9.01,9.500921548,0.490921548,,,,,,,,,,,,,,,,,,
l.ridnour (cha),PG,61,1138,346,126,327,37,108,17,26,23,97,177,32,66,8,92,0,306,1,0,0,14,-202,0.554,9.01,9.500921548,0.490921548,,,,,,,,,,,,,,,,,,
i.thomas (sac),PG,72,2492,1027,496,1096,127,364,346,407,47,210,454,93,213,8,185,0,1465,10,0,0,54,29,0.554,20.54,20.60786228,0.067862276,,,,,,,,,,,,,,,,,,
m.miller (mem),SF,82,1709,701,213,443,107,233,46,56,30,207,129,26,77,5,95,0,579,0,0,0,4,-51,0.553,12.5,12.21392363,0.286076367,,,,,,,,,,,,,,,,,,
s.hawes (phi),C,80,2468,1071,403,882,128,307,119,152,131,660,240,44,173,94,237,3,1053,11,0,0,78,-482,0.552,15.77,16.77069283,1.000692829,,,,,,,,,,,,,,,,,,
s.hawes (cle),C,80,2468,1071,403,882,128,307,119,152,131,660,240,44,173,94,237,3,1053,11,0,0,78,-482,0.552,15.77,16.77069283,1.000692829,,,,,,,,,,,,,,,,,,
c.kaman (lal),C,39,736,300,176,346,0,3,52,68,54,229,58,11,74,40,93,1,404,2,0,0,13,-60,0.552,17.06,18.81897789,1.758977892,,,,,,,,,,,,,,,,,,
e.bledsoe (pho),PG,43,1416,497,265,556,50,140,183,237,27,202,236,69,143,14,99,0,763,3,0,0,40,135,0.552,19.62,19.85742392,0.23742392,,,,,,,,,,,,,,,,,,
w.bynum (det),PG,56,1054,331,184,430,20,62,97,121,24,99,216,39,103,7,121,0,485,2,0,0,3,-112,0.552,14.44,15.02295374,0.582953743,,,,,,,,,,,,,,,,,,
g.vasquez (sac),PG,79,1778,786,277,658,109,289,95,108,20,173,323,31,128,5,143,2,758,3,0,0,23,168,0.551,14.2,14.41231968,0.212319677,,,,,,,,,,,,,,,,,,
g.vasquez (tor),PG,79,1778,786,277,658,109,289,95,108,20,173,323,31,128,5,143,2,758,3,0,0,23,168,0.551,14.2,14.41231968,0.212319677,,,,,,,,,,,,,,,,,,
j.leuer (mem),PF,49,643,274,121,246,23,49,37,47,37,158,20,18,27,13,63,0,302,0,0,0,0,-13,0.551,17.65,17.42643725,0.223562753,,,,,,,,,,,,,,,,,,
d.green (gsw),SF,82,1796,457,187,459,55,165,82,123,86,409,152,98,91,72,231,3,511,7,0,0,12,145,0.55,12.73,13.74436023,1.014360226,,,,,,,,,,,,,,,,,,
r.sessions (cha),PG,83,2215,439,330,769,35,124,326,404,38,203,340,49,148,9,90,0,1021,2,0,0,19,-171,0.55,16.04,16.10535822,0.06535822,,,,,,,,,,,,,,,,,,
r.sessions (mil),PG,83,2215,439,330,769,35,124,326,404,38,203,340,49,148,9,90,0,1021,2,0,0,19,-171,0.55,16.04,16.10535822,0.06535822,,,,,,,,,,,,,,,,,,
j.farmar (lal),PG,41,912,468,151,364,70,160,44,59,20,104,199,38,95,8,65,0,416,1,0,0,5,-90,0.549,15.05,16.56376374,1.513763735,,,,,,,,,,,,,,,,,,
k.durant (okc),SF,81,3118,1571,849,1688,192,491,703,805,58,599,445,103,285,59,174,0,2593,16,0,0,81,510,0.548,29.9,30.52568493,0.625684934,,,,,,,,,,,,,,,,,,
m.williams (por),PG,74,1835,731,280,672,83,225,78,89,42,153,321,55,149,10,197,1,721,4,0,0,0,73,0.546,11.87,12.69308788,0.823087882,,,,,,,,,,,,,,,,,,
p.millsap (atl),PF,74,2481,908,483,1047,76,212,286,391,154,627,232,129,185,78,210,3,1328,1,0,0,73,124,0.546,19.83,21.07425654,1.244256543,,,,,,,,,,,,,,,,,,
g.davis (orl),PF,68,1668,459,271,593,4,11,95,137,108,351,77,58,76,29,159,3,641,3,0,0,44,-165,0.545,13.14,13.70627413,0.56627413,,,,,,,,,,,,,,,,,,
g.davis (lac),PF,68,1668,459,271,593,4,11,95,137,108,351,77,58,76,29,159,3,641,3,0,0,44,-165,0.545,13.14,13.70627413,0.56627413,,,,,,,,,,,,,,,,,,
p.jones (okc),SF,62,767,204,83,181,22,61,28,42,28,114,26,14,21,19,62,0,216,0,0,0,7,54,0.545,10.14,10.58005658,0.440056575,,,,,,,,,,,,,,,,,,
p.mills (sas),PG,81,1523,950,309,666,135,318,73,82,34,169,149,68,62,9,114,0,826,1,0,0,2,338,0.543,18.8,19.83447075,1.03447075,,,,,,,,,,,,,,,,,,
b.jennings (det),PG,80,2729,1067,423,1135,154,457,241,321,59,244,609,101,215,8,157,0,1241,12,0,0,79,-186,0.543,15.67,16.09729545,0.427295446,,,,,,,,,,,,,,,,,,
c.bosh (mia),PF,79,2529,983,492,954,74,219,223,272,98,522,87,80,124,78,192,1,1281,3,0,0,79,447,0.543,19.11,18.97127046,0.138729537,,,,,,,,,,,,,,,,,,
m.belinelli (sas),SG,80,2015,941,337,695,126,293,111,131,18,226,179,50,95,7,130,0,911,0,0,0,25,261,0.543,15.09,15.84166841,0.751668414,,,,,,,,,,,,,,,,,,
d.nowitzki (dal),PF,80,2625,1319,632,1272,131,329,338,376,40,498,216,73,118,45,165,1,1733,7,0,0,80,322,0.542,23.68,24.10744701,0.427447009,,,,,,,,,,,,,,,,,,
j.crowder (dal),SF,78,1258,364,130,296,50,151,46,61,46,194,60,59,41,21,100,0,356,2,0,0,8,243,0.541,11.89,12.42809588,0.538095882,,,,,,,,,,,,,,,,,,
r.westbrook (okc),PG,46,1409,656,347,792,68,214,242,293,55,263,319,88,177,7,104,1,1004,10,0,0,46,221,0.54,24.74,25.76292765,1.022927653,,,,,,,,,,,,,,,,,,
t.ariza (was),SF,77,2723,1169,389,853,180,442,149,193,99,475,192,126,132,20,179,2,1107,4,0,0,77,195,0.539,15.87,16.37068855,0.500688545,,,,,,,,,,,,,,,,,,
j.jack (cle),PG,80,2253,636,286,698,63,185,125,149,22,223,325,55,133,22,133,0,760,2,0,0,31,-240,0.539,11.57,11.90724262,0.337242616,,,,,,,,,,,,,,,,,,
k.singler (det),SG,82,2335,668,269,602,94,246,152,184,116,303,75,61,79,38,211,2,784,0,0,0,36,-226,0.538,11.86,12.26924879,0.409248787,,,,,,,,,,,,,,,,,,
m.williams (uta),PF,66,1673,657,231,526,84,234,57,73,82,334,78,54,53,31,151,3,603,0,0,0,50,-174,0.537,14.04,14.18233826,0.142338262,,,,,,,,,,,,,,,,,,
j.harden (hou),SG,73,2780,1053,549,1204,177,483,576,665,61,345,445,114,265,29,177,0,1851,5,0,0,73,408,0.536,23.51,24.29238226,0.782382259,,,,,,,,,,,,,,,,,,
b.roberts (nop),PG,72,1671,555,244,580,64,178,125,133,17,136,235,43,95,7,132,2,677,1,0,0,42,-137,0.536,13.49,13.72564474,0.235644742,,,,,,,,,,,,,,,,,,
t.sefolosha (okc),SG,61,1589,373,141,340,48,152,53,69,50,219,95,79,55,17,90,0,383,0,0,0,61,120,0.536,10.42,11.08152521,0.661525211,,,,,,,,,,,,,,,,,,
b.davies (phi),PF,51,573,80,54,128,2,10,34,53,38,109,28,24,35,8,92,1,144,0,0,0,0,-32,0.536,7.49,8.763621572,1.273621572,,,,,,,,,,,,,,,,,,
d.augustin (chi),PG,71,1942,794,298,718,133,332,201,227,15,130,313,53,125,3,147,0,930,1,0,0,9,54,0.535,16.22,16.45596984,0.235969844,,,,,,,,,,,,,,,,,,
j.lin (hou),PG,71,2054,618,295,663,82,230,218,265,33,186,294,67,176,27,166,0,890,0,0,0,33,174,0.535,14.31,14.91454601,0.604546011,,,,,,,,,,,,,,,,,,
r.kelly (lal),SF,59,1314,348,157,371,48,142,110,135,42,219,95,32,47,45,147,0,472,0,0,0,25,-88,0.535,12.67,14.07767085,1.40767085,,,,,,,,,,,,,,,,,,
k.garnett (brk),PF,54,1111,276,157,356,0,3,38,47,60,357,82,44,69,40,123,1,352,9,0,0,54,-29,0.535,13.35,13.90944745,0.559447448,,,,,,,,,,,,,,,,,,
r.jackson (okc),PG,80,2281,895,402,914,83,244,158,177,43,313,331,85,169,9,142,0,1045,1,0,0,36,350,0.535,15.43,16.09662424,0.666624243,,,,,,,,,,,,,,,,,,
k.irving (cle),PG,71,2496,1142,532,1237,123,344,291,338,52,259,433,108,190,23,163,0,1478,0,0,0,71,-220,0.534,20.14,20.49074433,0.350744327,,,,,,,,,,,,,,,,,,
r.hibbert (ind),C,81,2406,461,331,754,2,5,207,269,202,538,91,29,148,181,269,4,871,4,0,0,81,363,0.534,13.54,13.4696335,0.070366501,,,,,,,,,,,,,,,,,,
m.bonner (sas),PF,61,697,263,73,164,42,98,9,12,16,131,31,15,16,11,49,0,197,0,0,0,0,112,0.533,11.27,11.90159935,0.631599347,,,,,,,,,,,,,,,,,,
l.aldridge (por),PF,69,2496,1017,652,1423,3,15,296,360,166,766,178,64,122,69,147,1,1603,2,0,0,69,367,0.533,21.84,22.92215296,1.082152955,,,,,,,,,,,,,,,,,,
k.hinrich (chi),SG,73,2120,646,243,619,85,242,95,125,31,192,285,80,120,26,203,2,666,3,0,0,61,145,0.532,10.8,11.27075165,0.470751653,,,,,,,,,,,,,,,,,,
t.burke (uta),PG,70,2262,913,341,897,111,336,102,113,37,208,396,41,131,6,145,1,895,0,0,0,68,-256,0.531,12.64,12.72372367,0.083723675,,,,,,,,,,,,,,,,,,
c.lee (mem),SG,79,1974,707,295,614,72,194,99,112,29,186,115,65,73,28,127,1,761,1,0,0,47,66,0.53,13.8,13.7464864,0.053513605,,,,,,,,,,,,,,,,,,
m.ellis (dal),PG,82,3023,1022,577,1279,69,209,339,430,38,295,470,141,263,23,197,0,1562,6,0,0,82,49,0.53,16.83,17.35914689,0.52914689,,,,,,,,,,,,,,,,,,
c.brewer (min),SF,81,2611,788,387,807,59,211,163,227,63,207,134,150,105,30,210,1,996,2,0,0,81,331,0.53,12.71,13.84152686,1.131526862,,,,,,,,,,,,,,,,,,
n.cole (mia),PG,82,2012,541,207,500,60,174,53,68,17,160,247,77,128,5,156,0,527,2,0,0,6,105,0.529,8.8,9.105106048,0.305106048,,,,,,,,,,,,,,,,,,
m.carter-williams (phi),PG,70,2415,761,427,1054,55,208,258,367,101,437,441,129,247,43,213,2,1167,3,0,0,70,-448,0.529,15.59,17.04669336,1.456693363,,,,,,,,,,,,,,,,,,
r.mccallum (sac),PG,45,898,260,113,300,22,59,32,43,18,79,120,22,39,9,69,0,280,0,0,0,10,-95,0.528,9.74,10.0772726,0.337272599,,,,,,,,,,,,,,,,,,
r.anderson (nop),PF,22,795,452,155,354,67,164,59,62,65,141,17,10,20,7,47,0,436,1,0,0,14,30,0.528,18.89,18.69392118,0.196078818,,,,,,,,,,,,,,,,,,
g.antetokounmpo (mil),SG,77,1899,331,173,418,41,118,138,202,78,339,149,60,122,61,173,2,525,2,0,0,23,-177,0.527,10.82,11.03486299,0.214862994,,,,,,,,,,,,,,,,,,
d.lillard (por),PG,82,2935,1389,553,1303,218,554,371,426,35,288,455,64,193,22,197,1,1695,3,0,0,82,359,0.526,18.69,19.41656908,0.726569077,,,,,,,,,,,,,,,,,,
m.barnes (lac),SF,63,1738,687,231,527,97,283,66,90,60,292,125,56,85,28,185,1,625,4,0,0,40,353,0.526,12.05,13.12322897,1.073228972,,,,,,,,,,,,,,,,,,
g.temple (was),SG,75,644,90,51,141,6,29,30,43,21,68,72,35,42,11,72,0,138,0,0,0,0,-86,0.526,7.81,8.468931012,0.658931012,,,,,,,,,,,,,,,,,,
j.dudley (lac),SG,74,1730,597,196,447,81,225,38,58,36,160,104,41,56,10,146,0,511,0,0,0,43,210,0.525,8.91,9.752225061,0.842225061,,,,,,,,,,,,,,,,,,
t.harris (orl),SF,61,1847,563,332,716,32,126,197,244,88,424,82,41,78,24,143,1,893,1,0,0,36,-230,0.525,16.54,16.99750476,0.45750476,,,,,,,,,,,,,,,,,,
c.watson (ind),PG,64,1194,382,146,335,53,145,69,88,19,101,107,60,59,8,66,0,414,0,0,0,5,136,0.525,13.08,13.28364637,0.20364637,,,,,,,,,,,,,,,,,,
a.brooks (den),PG,72,1558,671,233,581,96,248,83,95,43,140,233,52,117,13,146,0,645,6,0,0,12,-93,0.525,12.51,13.5090508,0.999050804,,,,,,,,,,,,,,,,,,
m.harkless (orl),SF,80,1955,540,224,483,59,154,85,143,69,264,80,97,86,50,140,0,592,1,0,0,41,-308,0.524,11.87,12.15725273,0.287252731,,,,,,,,,,,,,,,,,,
l.deng (chi),SF,63,2213,701,371,860,57,189,212,268,99,361,183,62,114,9,111,0,1011,1,0,0,63,8,0.524,15.22,15.53163197,0.311631968,,,,,,,,,,,,,,,,,,
l.deng (cle),SF,63,2213,701,371,860,57,189,212,268,99,361,183,62,114,9,111,0,1011,1,0,0,63,8,0.524,15.22,15.53163197,0.311631968,,,,,,,,,,,,,,,,,,
a.bynum (ind),C,26,517,151,94,225,0,0,37,49,53,145,29,6,34,29,31,0,225,0,0,0,19,-135,0.523,15.25,15.31238554,0.062385544,,,,,,,,,,,,,,,,,,
d.miller (nop),SF,45,726,192,73,166,25,77,29,36,9,52,43,23,22,9,88,0,200,0,0,0,7,51,0.523,9.06,9.370633857,0.310633857,,,,,,,,,,,,,,,,,,
a.burks (uta),PG,78,2192,631,380,831,50,143,279,373,59,257,212,69,149,14,190,2,1089,0,0,0,12,-286,0.523,15.82,15.72057971,0.099420288,,,,,,,,,,,,,,,,,,
j.barea (min),PG,79,1470,648,254,656,73,231,79,100,16,154,304,26,124,0,129,0,660,4,0,0,1,-99,0.522,11.68,12.99767381,1.317673815,,,,,,,,,,,,,,,,,,
m.scott (atl),SF,80,1484,685,301,628,62,200,103,132,62,284,75,30,79,7,121,0,767,0,0,0,6,-192,0.522,15.34,16.50004539,1.160045394,,,,,,,,,,,,,,,,,,
g.hayward (uta),SF,77,2798,796,426,1032,85,280,311,381,62,392,400,110,212,40,155,0,1248,0,0,0,77,-395,0.522,16.22,16.16679829,0.053201706,,,,,,,,,,,,,,,,,,
t.young (phi),SF,79,2717,1271,582,1283,90,292,163,229,166,476,182,168,165,36,213,1,1417,3,0,0,78,-652,0.522,16.64,18.22357088,1.583570876,,,,,,,,,,,,,,,,,,
k.walker (cha),PG,73,2617,943,449,1143,109,327,282,337,39,306,447,86,169,32,128,1,1289,4,0,0,73,132,0.521,16.82,17.14101275,0.321012752,,,,,,,,,,,,,,,,,,
j.johnson (brk),SG,79,2574,1251,462,1018,162,404,159,195,48,270,216,47,120,10,129,0,1245,2,0,0,79,57,0.519,15.54,15.46163941,0.078360593,,,,,,,,,,,,,,,,,,
n.robinson (den),PG,44,870,431,164,383,58,154,71,85,21,81,112,36,58,4,92,0,457,7,0,0,1,83,0.519,15.64,16.96786246,1.327862463,,,,,,,,,,,,,,,,,,
